"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcport","srcip","conn_dir","dstip","ratio","bpf","ppf","dpf"
"2016-10-10 09:14:44","2016-10-10 09:15:41",1476090884000,1476090941000,57000,"46.165.251.155",64593,782629787,1,182210686,130,1699,13,1179
"2016-10-10 09:14:44","2016-10-10 09:15:41",1476090884000,1476090941000,57000,"46.165.251.155",64593,782629787,1,182210686,130,1699,13,1179
"2016-10-10 09:28:41","2016-10-10 09:29:41",1476091721000,1476091781000,60000,"46.165.251.155",51560,782629787,1,182210686,131,1579,12,1099
"2016-10-10 09:28:41","2016-10-10 09:29:41",1476091721000,1476091781000,60000,"46.165.251.155",51560,782629787,1,182210686,131,1579,12,1099
"2016-10-10 09:41:43","2016-10-10 09:42:42",1476092503000,1476092562000,59000,"46.165.251.155",61097,782629787,1,182210686,131,1579,12,1099
"2016-10-10 09:41:43","2016-10-10 09:42:42",1476092503000,1476092562000,59000,"46.165.251.155",61097,782629787,1,182210686,131,1579,12,1099
"2016-10-10 09:53:42","2016-10-10 09:54:42",1476093222000,1476093282000,60000,"46.165.251.155",50008,782629787,1,182210686,131,1579,12,1099
"2016-10-10 10:06:44","2016-10-10 10:07:43",1476094004000,1476094063000,59000,"46.165.251.155",60961,782629787,1,182210686,131,1579,12,1099
"2016-10-10 10:18:45","2016-10-10 10:19:44",1476094725000,1476094784000,59000,"46.165.251.155",51655,782629787,1,182210686,131,1579,12,1099
"2016-10-10 10:31:45","2016-10-10 10:32:44",1476095505000,1476095564000,59000,"46.165.251.155",63880,782629787,1,182210686,131,1579,12,1099
"2016-10-10 10:43:46","2016-10-10 10:44:45",1476096226000,1476096285000,59000,"46.165.251.155",61640,782629787,1,182210686,131,1579,12,1099
"2016-10-10 10:55:46","2016-10-10 10:56:46",1476096946000,1476097006000,60000,"46.165.251.155",58972,782629787,1,182210686,131,1579,12,1099
"2016-10-10 11:07:47","2016-10-10 11:08:46",1476097667000,1476097726000,59000,"46.165.251.155",54827,782629787,1,182210686,131,1579,12,1099
"2016-10-10 11:20:48","2016-10-10 11:21:47",1476098448000,1476098507000,59000,"46.165.251.155",55818,782629787,1,182210686,131,1579,12,1099
"2016-10-10 11:32:48","2016-10-10 11:33:48",1476099168000,1476099228000,60000,"46.165.251.155",63572,782629787,1,182210686,131,1579,12,1099
"2016-10-10 11:44:49","2016-10-10 11:45:49",1476099889000,1476099949000,60000,"46.165.251.155",54081,782629787,1,182210686,131,1579,12,1099
"2016-10-10 11:56:54","2016-10-10 11:57:49",1476100614000,1476100669000,55000,"46.165.251.155",63533,782629787,1,182210686,131,1579,12,1099
