"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcip","dstip","ratio","bpf","ppf","dpf"
"2016-10-10 11:25:06","2016-10-10 11:27:03",1476098706000,1476098823000,117000,"221.229.172.117",-572150667,182217626,133,2403,18,1683
"2016-10-10 11:25:06","2016-10-10 11:27:03",1476098706000,1476098823000,117000,"221.229.172.117",-572150667,182217626,144,2163,15,1563
"2016-10-10 11:26:04","2016-10-10 11:28:03",1476098764000,1476098883000,119000,"221.229.172.117",-572150667,182217626,134,2283,17,1603
"2016-10-10 11:26:04","2016-10-10 11:28:03",1476098764000,1476098883000,119000,"221.229.172.117",-572150667,182217626,55,220,4,60
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,146,1899,13,1379
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,133,2403,18,1683
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,134,2291,17,1611
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,155,1399,9,1039
"2016-10-10 11:27:04","2016-10-10 11:29:03",1476098824000,1476098943000,119000,"221.229.172.117",-572150667,182217626,133,2267,17,1587
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,139,2227,16,1587
"2016-10-10 11:27:04","2016-10-10 16:57:23",1476098824000,1476118643000,19819000,"221.229.172.117",-572150667,182217626,140,4366,31,3126
"2016-10-10 11:27:04","2016-10-10 11:29:03",1476098824000,1476098943000,119000,"221.229.172.117",-572150667,182217626,134,2279,17,1599
"2016-10-10 11:27:04","2016-10-10 11:29:03",1476098824000,1476098943000,119000,"221.229.172.117",-572150667,182217626,122,2459,20,1659
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,138,2215,16,1575
"2016-10-10 11:27:04","2016-10-10 11:28:03",1476098824000,1476098883000,59000,"221.229.172.117",-572150667,182217626,124,1123,9,763
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,134,2279,17,1599
"2016-10-10 11:28:04","2016-10-10 11:30:03",1476098884000,1476099003000,119000,"221.229.172.117",-572150667,182217626,156,2195,14,1635
"2016-10-10 11:28:04","2016-10-10 13:30:11",1476098884000,1476106211000,7327000,"221.229.172.117",-572150667,182217626,134,4558,34,3198
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,150,2111,14,1551
"2016-10-10 11:28:04","2016-10-11 00:19:46",1476098884000,1476145186000,46302000,"221.229.172.117",-572150667,182217626,142,4262,30,3062
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,125,2383,19,1623
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,133,2267,17,1587
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,128,2319,18,1599
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,133,2267,17,1587
"2016-10-10 11:28:04","2016-10-10 11:29:03",1476098884000,1476098943000,59000,"221.229.172.117",-572150667,182217626,138,2215,16,1575
"2016-10-10 11:29:04","2016-10-10 11:30:03",1476098944000,1476099003000,59000,"221.229.172.117",-572150667,182217626,166,1335,8,1015
"2016-10-10 11:29:04","2016-10-10 11:30:03",1476098944000,1476099003000,59000,"221.229.172.117",-572150667,182217626,63,191,3,71
"2016-10-10 11:29:04","2016-10-10 11:31:04",1476098944000,1476099064000,120000,"221.229.172.117",-572150667,182217626,129,2723,21,1883
"2016-10-10 11:29:04","2016-10-10 11:30:03",1476098944000,1476099003000,59000,"221.229.172.117",-572150667,182217626,150,2111,14,1551
"2016-10-10 11:29:04","2016-10-10 11:30:03",1476098944000,1476099003000,59000,"221.229.172.117",-572150667,182217626,139,2230,16,1590
"2016-10-10 11:29:04","2016-10-10 16:08:20",1476098944000,1476115700000,16756000,"221.229.172.117",-572150667,182217626,144,3622,25,2622
"2016-10-10 11:29:04","2016-10-10 11:30:03",1476098944000,1476099003000,59000,"221.229.172.117",-572150667,182217626,150,2111,14,1551
"2016-10-10 11:29:04","2016-10-10 11:30:03",1476098944000,1476099003000,59000,"221.229.172.117",-572150667,182217626,138,2351,17,1671
"2016-10-10 11:29:04","2016-10-10 11:31:04",1476098944000,1476099064000,120000,"221.229.172.117",-572150667,182217626,164,2135,13,1615
"2016-10-10 11:29:04","2016-10-10 17:02:23",1476098944000,1476118943000,19999000,"221.229.172.117",-572150667,182217626,135,4486,33,3166
"2016-10-10 11:29:04","2016-10-11 04:07:59",1476098944000,1476158879000,59935000,"221.229.172.117",-572150667,182217626,135,4486,33,3166
"2016-10-10 11:29:04","2016-10-10 11:31:04",1476098944000,1476099064000,120000,"221.229.172.117",-572150667,182217626,150,2111,14,1551
"2016-10-10 11:30:04","2016-10-10 11:31:04",1476099004000,1476099064000,60000,"221.229.172.117",-572150667,182217626,144,2163,15,1563
"2016-10-10 11:30:04","2016-10-10 11:31:04",1476099004000,1476099064000,60000,"221.229.172.117",-572150667,182217626,151,1963,13,1443
"2016-10-10 11:30:04","2016-10-10 11:31:04",1476099004000,1476099064000,60000,"221.229.172.117",-572150667,182217626,130,2475,19,1715
"2016-10-10 11:30:04","2016-10-10 11:31:04",1476099004000,1476099064000,60000,"221.229.172.117",-572150667,182217626,145,2179,15,1579
"2016-10-10 11:30:04","2016-10-10 11:32:04",1476099004000,1476099124000,120000,"221.229.172.117",-572150667,182217626,132,2255,17,1575
"2016-10-10 11:30:04","2016-10-10 16:39:22",1476099004000,1476117562000,18558000,"221.229.172.117",-572150667,182217626,160,5138,32,3858
"2016-10-10 11:30:04","2016-10-10 11:32:04",1476099004000,1476099124000,120000,"221.229.172.117",-572150667,182217626,132,1727,13,1207
"2016-10-10 11:30:04","2016-10-10 11:32:04",1476099004000,1476099124000,120000,"221.229.172.117",-572150667,182217626,126,2147,17,1467
"2016-10-10 11:30:04","2016-10-10 11:31:04",1476099004000,1476099064000,60000,"221.229.172.117",-572150667,182217626,144,2163,15,1563
"2016-10-10 11:30:04","2016-10-10 11:31:04",1476099004000,1476099064000,60000,"221.229.172.117",-572150667,182217626,145,2175,15,1575
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,144,2163,15,1563
"2016-10-10 11:31:04","2016-10-10 11:33:04",1476099064000,1476099184000,120000,"221.229.172.117",-572150667,182217626,150,2111,14,1551
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,173,2947,17,2267
"2016-10-10 11:31:04","2016-10-10 21:13:36",1476099064000,1476134016000,34952000,"221.229.172.117",-572150667,182217626,144,4342,30,3142
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,138,2215,16,1575
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,139,2231,16,1591
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,143,1727,12,1247
"2016-10-10 11:31:04","2016-10-10 11:33:04",1476099064000,1476099184000,120000,"221.229.172.117",-572150667,182217626,142,2287,16,1647
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,132,1727,13,1207
"2016-10-10 11:31:04","2016-10-10 11:32:04",1476099064000,1476099124000,60000,"221.229.172.117",-572150667,182217626,59,295,5,95
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,134,2279,17,1599
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,139,2231,16,1591
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,138,2215,16,1575
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,126,2399,19,1639
"2016-10-10 11:32:04","2016-10-10 11:34:04",1476099124000,1476099244000,120000,"221.229.172.117",-572150667,182217626,135,2443,18,1723
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,133,2267,17,1587
"2016-10-10 11:32:04","2016-10-11 03:37:57",1476099124000,1476157077000,57953000,"221.229.172.117",-572150667,182217626,138,4442,32,3162
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,128,2319,18,1599
"2016-10-10 11:32:04","2016-10-10 11:34:04",1476099124000,1476099244000,120000,"221.229.172.117",-572150667,182217626,215,1723,8,1403
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,121,2427,20,1627
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,133,2271,17,1591
"2016-10-10 11:32:04","2016-10-10 11:33:04",1476099124000,1476099184000,60000,"221.229.172.117",-572150667,182217626,144,2167,15,1567
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,130,2347,18,1627
"2016-10-10 11:33:05","2016-10-11 06:16:07",1476099185000,1476166567000,67382000,"221.229.172.117",-572150667,182217626,135,4754,35,3354
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,155,1399,9,1039
"2016-10-10 11:33:05","2016-10-10 11:35:04",1476099185000,1476099304000,119000,"221.229.172.117",-572150667,182217626,145,2179,15,1579
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,142,2287,16,1647
"2016-10-10 11:33:05","2016-10-11 04:15:00",1476099185000,1476159300000,60115000,"221.229.172.117",-572150667,182217626,141,3674,26,2634
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,144,2163,15,1563
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,143,2587,18,1867
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,156,2503,16,1863
"2016-10-10 11:33:05","2016-10-10 11:34:04",1476099185000,1476099244000,59000,"221.229.172.117",-572150667,182217626,167,2179,13,1659
"2016-10-10 11:34:05","2016-10-10 11:35:04",1476099245000,1476099304000,59000,"221.229.172.117",-572150667,182217626,138,2215,16,1575
"2016-10-10 11:34:05","2016-10-10 11:35:04",1476099245000,1476099304000,59000,"221.229.172.117",-572150667,182217626,134,2283,17,1603
"2016-10-10 11:34:05","2016-10-10 21:38:38",1476099245000,1476135518000,36273000,"221.229.172.117",-572150667,182217626,144,6221,43,4501
"2016-10-10 11:34:05","2016-10-10 11:35:04",1476099245000,1476099304000,59000,"221.229.172.117",-572150667,182217626,132,2255,17,1575
"2016-10-10 11:34:05","2016-10-10 23:02:42",1476099245000,1476140562000,41317000,"221.229.172.117",-572150667,182217626,138,4418,32,3138
"2016-10-10 11:34:05","2016-10-10 11:35:04",1476099245000,1476099304000,59000,"221.229.172.117",-572150667,182217626,130,2347,18,1627
"2016-10-10 11:34:05","2016-10-10 11:35:04",1476099245000,1476099304000,59000,"221.229.172.117",-572150667,182217626,135,2299,17,1619
"2016-10-10 11:34:05","2016-10-11 03:42:58",1476099245000,1476157378000,58133000,"221.229.172.117",-572150667,182217626,135,4486,33,3166
"2016-10-10 11:34:05","2016-10-10 11:35:04",1476099245000,1476099304000,59000,"221.229.172.117",-572150667,182217626,143,2151,15,1551
