"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcport","srcip","conn_dir","dstip","ratio","bpf","ppf","dpf"
"2016-10-10 18:27:14","2016-10-10 18:28:29",1476124034000,1476124109000,75000,"222.186.21.94",4289,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 18:27:30","2016-10-10 18:28:29",1476124050000,1476124109000,59000,"222.186.21.94",4105,-558230178,1,182209515,209,2939,14,2379
"2016-10-10 18:27:30","2016-10-10 18:30:29",1476124050000,1476124229000,179000,"222.186.21.94",3969,-558230178,1,182209515,190,1715,9,1355
"2016-10-10 18:30:03","2016-10-10 18:31:29",1476124203000,1476124289000,86000,"222.186.21.94",2589,-558230178,1,182209515,214,7729,36,6289
"2016-10-10 18:31:30","2016-10-10 18:34:29",1476124290000,1476124469000,179000,"222.186.21.94",1368,-558230178,1,182209515,199,8173,41,6533
"2016-10-10 18:31:30","2016-10-10 18:32:29",1476124290000,1476124349000,59000,"222.186.21.94",2589,-558230178,1,182209515,169,3555,21,2715
"2016-10-10 18:33:32","2016-10-10 18:34:29",1476124412000,1476124469000,57000,"222.186.21.94",3562,-558230178,1,182209515,194,2915,15,2315
"2016-10-10 18:33:32","2016-10-10 18:36:30",1476124412000,1476124590000,178000,"222.186.21.94",2633,-558230178,1,182209515,189,5870,31,4630
"2016-10-10 18:35:48","2016-10-10 18:37:30",1476124548000,1476124650000,102000,"222.186.21.94",3388,-558230178,1,182209515,209,2939,14,2379
"2016-10-10 18:36:30","2016-10-10 18:38:30",1476124590000,1476124710000,120000,"222.186.21.94",3723,-558230178,1,182209515,181,2907,16,2267
"2016-10-10 18:36:30","2016-10-10 18:37:30",1476124590000,1476124650000,60000,"222.186.21.94",1653,-558230178,1,182209515,206,2891,14,2331
"2016-10-10 18:37:34","2016-10-10 18:39:30",1476124654000,1476124770000,116000,"222.186.21.94",4972,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 18:38:32","2016-10-10 18:39:30",1476124712000,1476124770000,58000,"222.186.21.94",4226,-558230178,1,182209515,198,2979,15,2379
"2016-10-10 18:39:34","2016-10-10 18:41:30",1476124774000,1476124890000,116000,"222.186.21.94",2363,-558230178,1,182209515,213,2771,13,2251
"2016-10-10 18:39:34","2016-10-10 18:40:30",1476124774000,1476124830000,56000,"222.186.21.94",3931,-558230178,1,182209515,187,3007,16,2367
"2016-10-10 18:41:34","2016-10-10 18:42:30",1476124894000,1476124950000,56000,"222.186.21.94",2986,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 18:42:44","2016-10-10 18:44:30",1476124964000,1476125070000,106000,"222.186.21.94",4185,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 18:43:30","2016-10-10 18:45:30",1476125010000,1476125130000,120000,"222.186.21.94",4845,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 18:43:30","2016-10-10 18:44:30",1476125010000,1476125070000,60000,"222.186.21.94",4343,-558230178,1,182209515,218,2835,13,2315
"2016-10-10 18:44:30","2016-10-10 18:45:30",1476125070000,1476125130000,60000,"222.186.21.94",1898,-558230178,1,182209515,227,2731,12,2251
"2016-10-10 18:44:30","2016-10-10 18:48:30",1476125070000,1476125310000,240000,"222.186.21.94",2879,-558230178,1,182209515,191,8253,43,6533
"2016-10-10 18:47:34","2016-10-10 18:48:30",1476125254000,1476125310000,56000,"222.186.21.94",3442,-558230178,1,182209515,226,2947,13,2427
"2016-10-10 18:47:34","2016-10-10 18:49:30",1476125254000,1476125370000,116000,"222.186.21.94",1772,-558230178,1,182209515,185,2971,16,2331
"2016-10-10 18:48:30","2016-10-10 18:49:30",1476125310000,1476125370000,60000,"222.186.21.94",4328,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 18:49:34","2016-10-10 18:50:30",1476125374000,1476125430000,56000,"222.186.21.94",4019,-558230178,1,182209515,194,2915,15,2315
"2016-10-10 18:51:04","2016-10-10 18:51:30",1476125464000,1476125490000,26000,"222.186.21.94",1883,-558230178,1,182209515,234,2575,11,2135
"2016-10-10 18:51:32","2016-10-10 18:52:30",1476125492000,1476125550000,58000,"222.186.21.94",2205,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 18:52:58","2016-10-10 18:55:30",1476125578000,1476125730000,152000,"222.186.21.94",1432,-558230178,1,182209515,173,2775,16,2135
"2016-10-10 18:54:46","2016-10-10 18:56:30",1476125686000,1476125790000,104000,"222.186.21.94",3290,-558230178,1,182209515,213,2771,13,2251
"2016-10-10 18:55:30","2016-10-10 18:56:30",1476125730000,1476125790000,60000,"222.186.21.94",3893,-558230178,1,182209515,194,2915,15,2315
"2016-10-10 18:55:30","2016-10-10 18:57:30",1476125730000,1476125850000,120000,"222.186.21.94",3488,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 18:56:30","2016-10-10 18:58:30",1476125790000,1476125910000,120000,"222.186.21.94",4700,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 18:56:30","2016-10-10 18:58:30",1476125790000,1476125910000,120000,"222.186.21.94",2658,-558230178,1,182209515,195,5674,29,4514
"2016-10-10 18:56:30","2016-10-10 18:57:30",1476125790000,1476125850000,60000,"222.186.21.94",3846,-558230178,1,182209515,250,2755,11,2315
"2016-10-10 18:57:32","2016-10-10 18:59:30",1476125852000,1476125970000,118000,"222.186.21.94",1085,-558230178,1,182209515,185,5754,31,4514
"2016-10-10 18:58:34","2016-10-10 19:00:30",1476125914000,1476126030000,116000,"222.186.21.94",4376,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 18:59:30","2016-10-10 19:00:30",1476125970000,1476126030000,60000,"222.186.21.94",1357,-558230178,1,182209515,179,3059,17,2379
"2016-10-10 19:00:30","2016-10-10 19:01:30",1476126030000,1476126090000,60000,"222.186.21.94",1963,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 19:00:30","2016-10-10 19:01:30",1476126030000,1476126090000,60000,"222.186.21.94",4559,-558230178,1,182209515,248,1991,8,1671
"2016-10-10 19:01:30","2016-10-10 19:02:30",1476126090000,1476126150000,60000,"222.186.21.94",4559,-558230178,1,182209515,112,900,8,580
"2016-10-10 19:01:30","2016-10-10 19:02:30",1476126090000,1476126150000,60000,"222.186.21.94",4329,-558230178,1,182209515,218,2835,13,2315
"2016-10-10 19:02:38","2016-10-10 19:03:30",1476126158000,1476126210000,52000,"222.186.21.94",4384,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 19:02:38","2016-10-10 19:04:30",1476126158000,1476126270000,112000,"222.186.21.94",2199,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 19:03:30","2016-10-10 19:06:30",1476126210000,1476126390000,180000,"222.186.21.94",2809,-558230178,1,182209515,225,2251,10,1851
"2016-10-10 19:05:30","2016-10-10 19:06:30",1476126330000,1476126390000,60000,"222.186.21.94",2209,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 19:05:30","2016-10-10 19:07:30",1476126330000,1476126450000,120000,"222.186.21.94",3861,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 19:06:30","2016-10-10 19:08:30",1476126390000,1476126510000,120000,"222.186.21.94",2049,-558230178,1,182209515,213,2771,13,2251
"2016-10-10 19:07:30","2016-10-10 19:09:30",1476126450000,1476126570000,120000,"222.186.21.94",1276,-558230178,1,182209515,194,2915,15,2315
"2016-10-10 19:07:30","2016-10-10 19:08:30",1476126450000,1476126510000,60000,"222.186.21.94",3322,-558230178,1,182209515,209,5646,27,4566
"2016-10-10 19:08:30","2016-10-10 19:10:30",1476126510000,1476126630000,120000,"222.186.21.94",3260,-558230178,1,182209515,190,5702,30,4502
"2016-10-10 19:09:30","2016-10-10 19:11:30",1476126570000,1476126690000,120000,"222.186.21.94",2113,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 19:10:32","2016-10-10 19:11:30",1476126632000,1476126690000,58000,"222.186.21.94",3078,-558230178,1,182209515,205,2875,14,2315
"2016-10-10 19:11:30","2016-10-10 19:13:30",1476126690000,1476126810000,120000,"222.186.21.94",2353,-558230178,1,182209515,209,1675,8,1355
"2016-10-10 19:12:30","2016-10-10 19:13:30",1476126750000,1476126810000,60000,"222.186.21.94",1398,-558230178,1,182209515,213,2771,13,2251
"2016-10-10 19:13:32","2016-10-10 19:15:30",1476126812000,1476126930000,118000,"222.186.21.94",1191,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 19:14:32","2016-10-10 19:15:30",1476126872000,1476126930000,58000,"222.186.21.94",2981,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 19:15:32","2016-10-10 19:16:30",1476126932000,1476126990000,58000,"222.186.21.94",3826,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 19:16:32","2016-10-10 19:19:30",1476126992000,1476127170000,178000,"222.186.21.94",4637,-558230178,1,182209515,190,1715,9,1355
"2016-10-10 19:17:32","2016-10-10 19:19:30",1476127052000,1476127170000,118000,"222.186.21.94",2363,-558230178,1,182209515,206,2891,14,2331
"2016-10-10 19:18:32","2016-10-10 19:20:30",1476127112000,1476127230000,118000,"222.186.21.94",2283,-558230178,1,182209515,182,2735,15,2135
"2016-10-10 19:19:32","2016-10-10 19:20:30",1476127172000,1476127230000,58000,"222.186.21.94",3821,-558230178,1,182209515,190,2851,15,2251
"2016-10-10 19:19:32","2016-10-10 19:21:30",1476127172000,1476127290000,118000,"222.186.21.94",4271,-558230178,1,182209515,200,2811,14,2251
"2016-10-10 19:20:32","2016-10-10 19:21:30",1476127232000,1476127290000,58000,"222.186.21.94",2931,-558230178,1,182209515,225,5190,23,4270
