"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcport","srcip","conn_dir","dstip","ratio","bpf","ppf","dpf"
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",25898,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",32933,854153670,1,-1062729170,76,532,7,252
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",60015,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",7355,854153670,1,-1062729170,154,3701,24,2741
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",22000,854153670,1,-1062729170,207,3105,15,2505
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",11399,854153670,1,-1062729170,165,3637,22,2757
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",60270,854153670,1,-1062729170,160,3701,23,2781
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",25307,854153670,1,-1062729170,165,3637,22,2757
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",58353,854153670,1,-1062729170,160,3701,23,2781
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",23090,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",6092,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",16049,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",29056,854153670,1,-1062729170,156,3765,24,2805
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",22095,854153670,1,-1062729170,160,3701,23,2781
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",13703,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",43135,854153670,1,-1062729170,162,3573,22,2693
"2016-10-10 21:21:26","2016-10-10 21:22:25",1476134486000,1476134545000,59000,"50.233.89.198",27323,854153670,1,-1062729170,156,3765,24,2805
"2016-10-10 21:22:26","2016-10-10 21:24:25",1476134546000,1476134665000,119000,"50.233.89.198",13502,854153670,1,-1062729170,165,3637,22,2757
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",61986,854153670,1,-1062729170,153,3829,25,2829
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",12140,854153670,1,-1062729170,160,3701,23,2781
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",21274,854153670,1,-1062729170,156,3765,24,2805
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",21220,854153670,1,-1062729170,165,3637,22,2757
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",5712,854153670,1,-1062729170,165,3637,22,2757
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",50016,854153670,1,-1062729170,162,3573,22,2693
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",38553,854153670,1,-1062729170,156,3765,24,2805
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",32940,854153670,1,-1062729170,165,3637,22,2757
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",28320,854153670,1,-1062729170,154,3701,24,2741
"2016-10-10 21:22:26","2016-10-10 21:23:25",1476134546000,1476134605000,59000,"50.233.89.198",15790,854153670,1,-1062729170,165,3637,22,2757
