"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcip","dstip","srcport","ratio","bpf","ppf","dpf"
"2016-10-06 23:05:02","2016-10-06 23:06:02",1475795102000,1475795162000,60000,"50.233.89.198",854153670,-1062729170,21578,162,3573,22,2693
"2016-10-06 23:05:02","2016-10-06 23:06:02",1475795102000,1475795162000,60000,"50.233.89.198",854153670,-1062729170,31949,160,3701,23,2781
"2016-10-06 23:07:03","2016-10-06 23:08:02",1475795223000,1475795282000,59000,"50.233.89.198",854153670,-1062729170,27253,156,3753,24,2793
"2016-10-06 23:07:03","2016-10-06 23:08:02",1475795223000,1475795282000,59000,"50.233.89.198",854153670,-1062729170,7457,165,3637,22,2757
"2016-10-06 23:07:03","2016-10-06 23:08:02",1475795223000,1475795282000,59000,"50.233.89.198",854153670,-1062729170,55764,165,3637,22,2757
"2016-10-06 23:07:03","2016-10-06 23:08:02",1475795223000,1475795282000,59000,"50.233.89.198",854153670,-1062729170,38667,165,3637,22,2757
"2016-10-06 23:08:03","2016-10-06 23:09:02",1475795283000,1475795342000,59000,"50.233.89.198",854153670,-1062729170,19472,165,3637,22,2757
"2016-10-06 23:10:03","2016-10-06 23:11:02",1475795403000,1475795462000,59000,"50.233.89.198",854153670,-1062729170,45350,165,3637,22,2757
"2016-10-06 23:12:03","2016-10-06 23:13:03",1475795523000,1475795583000,60000,"50.233.89.198",854153670,-1062729170,2314,165,3637,22,2757
"2016-10-06 23:13:03","2016-10-06 23:14:03",1475795583000,1475795643000,60000,"50.233.89.198",854153670,-1062729170,46141,160,3701,23,2781
"2016-10-06 23:13:03","2016-10-06 23:14:03",1475795583000,1475795643000,60000,"50.233.89.198",854153670,-1062729170,3856,160,3701,23,2781
"2016-10-06 23:14:03","2016-10-06 23:15:03",1475795643000,1475795703000,60000,"50.233.89.198",854153670,-1062729170,12673,160,3701,23,2781
"2016-10-06 23:14:03","2016-10-06 23:15:03",1475795643000,1475795703000,60000,"50.233.89.198",854153670,-1062729170,46298,165,3637,22,2757
"2016-10-06 23:14:03","2016-10-06 23:15:03",1475795643000,1475795703000,60000,"50.233.89.198",854153670,-1062729170,14165,165,3637,22,2757
"2016-10-06 23:15:03","2016-10-06 23:16:03",1475795703000,1475795763000,60000,"50.233.89.198",854153670,-1062729170,64190,165,3637,22,2757
"2016-10-06 23:15:03","2016-10-06 23:16:03",1475795703000,1475795763000,60000,"50.233.89.198",854153670,-1062729170,35305,165,3637,22,2757
"2016-10-06 23:16:03","2016-10-06 23:18:03",1475795763000,1475795883000,120000,"50.233.89.198",854153670,-1062729170,64408,160,3701,23,2781
"2016-10-06 23:17:03","2016-10-06 23:18:03",1475795823000,1475795883000,60000,"50.233.89.198",854153670,-1062729170,58704,165,3637,22,2757
"2016-10-06 23:17:03","2016-10-06 23:18:03",1475795823000,1475795883000,60000,"50.233.89.198",854153670,-1062729170,52453,165,3637,22,2757
"2016-10-06 23:17:03","2016-10-06 23:18:03",1475795823000,1475795883000,60000,"50.233.89.198",854153670,-1062729170,64825,165,3637,22,2757
"2016-10-06 23:18:03","2016-10-06 23:19:03",1475795883000,1475795943000,60000,"50.233.89.198",854153670,-1062729170,38065,162,3573,22,2693
"2016-10-06 23:18:03","2016-10-06 23:19:03",1475795883000,1475795943000,60000,"50.233.89.198",854153670,-1062729170,11841,165,3637,22,2757
"2016-10-06 23:19:03","2016-10-06 23:20:03",1475795943000,1475796003000,60000,"50.233.89.198",854153670,-1062729170,28024,160,3701,23,2781
"2016-10-06 23:20:03","2016-10-06 23:21:03",1475796003000,1475796063000,60000,"50.233.89.198",854153670,-1062729170,3213,165,3637,22,2757
"2016-10-06 23:21:03","2016-10-06 23:23:03",1475796063000,1475796183000,120000,"50.233.89.198",854153670,-1062729170,40968,165,3637,22,2757
"2016-10-06 23:23:03","2016-10-06 23:24:03",1475796183000,1475796243000,60000,"50.233.89.198",854153670,-1062729170,42778,165,3637,22,2757
"2016-10-06 23:23:03","2016-10-06 23:24:03",1475796183000,1475796243000,60000,"50.233.89.198",854153670,-1062729170,46142,165,3637,22,2757
"2016-10-06 23:23:03","2016-10-06 23:24:03",1475796183000,1475796243000,60000,"50.233.89.198",854153670,-1062729170,16991,162,3573,22,2693
"2016-10-06 23:24:03","2016-10-06 23:25:03",1475796243000,1475796303000,60000,"50.233.89.198",854153670,-1062729170,65124,165,3637,22,2757
"2016-10-06 23:25:03","2016-10-06 23:26:03",1475796303000,1475796363000,60000,"50.233.89.198",854153670,-1062729170,5764,165,3637,22,2757
"2016-10-06 23:26:03","2016-10-06 23:27:03",1475796363000,1475796423000,60000,"50.233.89.198",854153670,-1062729170,3886,160,3701,23,2781
"2016-10-06 23:27:03","2016-10-06 23:28:03",1475796423000,1475796483000,60000,"50.233.89.198",854153670,-1062729170,11245,160,3701,23,2781
"2016-10-06 23:28:03","2016-10-06 23:29:03",1475796483000,1475796543000,60000,"50.233.89.198",854153670,-1062729170,19486,165,3637,22,2757
"2016-10-06 23:28:03","2016-10-06 23:29:03",1475796483000,1475796543000,60000,"50.233.89.198",854153670,-1062729170,52256,165,3637,22,2757
"2016-10-06 23:28:03","2016-10-06 23:29:03",1475796483000,1475796543000,60000,"50.233.89.198",854153670,-1062729170,49519,158,3637,23,2717
"2016-10-06 23:29:03","2016-10-06 23:30:03",1475796543000,1475796603000,60000,"50.233.89.198",854153670,-1062729170,42493,165,3637,22,2757
"2016-10-06 23:30:03","2016-10-06 23:31:03",1475796603000,1475796663000,60000,"50.233.89.198",854153670,-1062729170,55208,165,3637,22,2757
"2016-10-06 23:30:03","2016-10-06 23:31:03",1475796603000,1475796663000,60000,"50.233.89.198",854153670,-1062729170,22686,165,3637,22,2757
"2016-10-06 23:31:03","2016-10-06 23:32:03",1475796663000,1475796723000,60000,"50.233.89.198",854153670,-1062729170,13225,165,3637,22,2757
"2016-10-06 23:31:03","2016-10-06 23:32:03",1475796663000,1475796723000,60000,"50.233.89.198",854153670,-1062729170,34662,160,3701,23,2781
"2016-10-06 23:32:04","2016-10-06 23:33:03",1475796724000,1475796783000,59000,"50.233.89.198",854153670,-1062729170,23503,162,3573,22,2693
"2016-10-06 23:06:02","2016-10-06 23:07:02",1475795162000,1475795222000,60000,"50.233.89.198",854153670,-1062729170,4260,160,3701,23,2781
"2016-10-06 23:06:02","2016-10-06 23:07:02",1475795162000,1475795222000,60000,"50.233.89.198",854153670,-1062729170,15608,165,3637,22,2757
"2016-10-06 23:06:02","2016-10-06 23:07:02",1475795162000,1475795222000,60000,"50.233.89.198",854153670,-1062729170,5056,165,3637,22,2757
"2016-10-06 23:06:02","2016-10-06 23:07:02",1475795162000,1475795222000,60000,"50.233.89.198",854153670,-1062729170,22359,165,3637,22,2757
"2016-10-06 23:07:03","2016-10-06 23:08:02",1475795223000,1475795282000,59000,"50.233.89.198",854153670,-1062729170,10309,160,3701,23,2781
"2016-10-06 23:07:03","2016-10-06 23:08:02",1475795223000,1475795282000,59000,"50.233.89.198",854153670,-1062729170,58325,165,3637,22,2757
"2016-10-06 23:09:03","2016-10-06 23:10:02",1475795343000,1475795402000,59000,"50.233.89.198",854153670,-1062729170,56430,165,3637,22,2757
"2016-10-06 23:10:03","2016-10-06 23:11:02",1475795403000,1475795462000,59000,"50.233.89.198",854153670,-1062729170,62903,165,3637,22,2757
"2016-10-06 23:10:03","2016-10-06 23:11:02",1475795403000,1475795462000,59000,"50.233.89.198",854153670,-1062729170,34704,165,3637,22,2757
"2016-10-06 23:11:03","2016-10-06 23:12:02",1475795463000,1475795522000,59000,"50.233.89.198",854153670,-1062729170,60007,160,3701,23,2781
"2016-10-06 23:13:03","2016-10-06 23:14:03",1475795583000,1475795643000,60000,"50.233.89.198",854153670,-1062729170,38504,165,3637,22,2757
"2016-10-06 23:14:03","2016-10-06 23:15:03",1475795643000,1475795703000,60000,"50.233.89.198",854153670,-1062729170,22215,162,3573,22,2693
"2016-10-06 23:14:03","2016-10-06 23:15:03",1475795643000,1475795703000,60000,"50.233.89.198",854153670,-1062729170,35668,160,3701,23,2781
"2016-10-06 23:16:03","2016-10-06 23:17:03",1475795763000,1475795823000,60000,"50.233.89.198",854153670,-1062729170,8825,165,3637,22,2757
"2016-10-06 23:16:03","2016-10-06 23:17:03",1475795763000,1475795823000,60000,"50.233.89.198",854153670,-1062729170,3826,160,3701,23,2781
"2016-10-06 23:17:03","2016-10-06 23:18:03",1475795823000,1475795883000,60000,"50.233.89.198",854153670,-1062729170,65324,165,3637,22,2757
"2016-10-06 23:17:03","2016-10-06 23:18:03",1475795823000,1475795883000,60000,"50.233.89.198",854153670,-1062729170,6616,165,3637,22,2757
"2016-10-06 23:19:03","2016-10-06 23:20:03",1475795943000,1475796003000,60000,"50.233.89.198",854153670,-1062729170,39274,165,3637,22,2757
"2016-10-06 23:19:03","2016-10-06 23:20:03",1475795943000,1475796003000,60000,"50.233.89.198",854153670,-1062729170,4550,165,3637,22,2757
"2016-10-06 23:20:03","2016-10-06 23:21:03",1475796003000,1475796063000,60000,"50.233.89.198",854153670,-1062729170,58250,160,3701,23,2781
"2016-10-06 23:20:03","2016-10-06 23:21:03",1475796003000,1475796063000,60000,"50.233.89.198",854153670,-1062729170,13305,165,3637,22,2757
"2016-10-06 23:21:03","2016-10-06 23:22:03",1475796063000,1475796123000,60000,"50.233.89.198",854153670,-1062729170,42478,160,3701,23,2781
"2016-10-06 23:21:03","2016-10-06 23:22:03",1475796063000,1475796123000,60000,"50.233.89.198",854153670,-1062729170,4135,160,3701,23,2781
"2016-10-06 23:22:03","2016-10-06 23:23:03",1475796123000,1475796183000,60000,"50.233.89.198",854153670,-1062729170,5888,165,3637,22,2757
"2016-10-06 23:22:03","2016-10-06 23:23:03",1475796123000,1475796183000,60000,"50.233.89.198",854153670,-1062729170,30411,165,3637,22,2757
"2016-10-06 23:25:03","2016-10-06 23:27:03",1475796303000,1475796423000,120000,"50.233.89.198",854153670,-1062729170,32391,162,3573,22,2693
"2016-10-06 23:25:03","2016-10-06 23:26:03",1475796303000,1475796363000,60000,"50.233.89.198",854153670,-1062729170,6715,165,3637,22,2757
"2016-10-06 23:25:03","2016-10-06 23:26:03",1475796303000,1475796363000,60000,"50.233.89.198",854153670,-1062729170,38137,165,3637,22,2757
"2016-10-06 23:27:03","2016-10-06 23:28:03",1475796423000,1475796483000,60000,"50.233.89.198",854153670,-1062729170,48651,165,3637,22,2757
"2016-10-06 23:31:03","2016-10-06 23:32:03",1475796663000,1475796723000,60000,"50.233.89.198",854153670,-1062729170,23101,160,3701,23,2781
