"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcport","srcip","conn_dir","dstip","ratio","bpf","ppf","dpf"
"2016-10-10 12:50:45","2016-10-10 12:51:45",1476103845000,1476103905000,60000,"121.18.238.114",34759,2031283826,1,182222626,149,2099,14,1539
"2016-10-10 12:50:45","2016-10-10 12:52:45",1476103845000,1476103965000,120000,"121.18.238.114",53868,2031283826,1,182222626,138,2359,17,1679
"2016-10-10 12:50:45","2016-10-10 12:51:45",1476103845000,1476103905000,60000,"121.18.238.114",49447,2031283826,1,182222626,133,2267,17,1587
"2016-10-10 12:50:45","2016-10-10 12:51:45",1476103845000,1476103905000,60000,"121.18.238.114",47683,2031283826,1,182222626,131,2495,19,1735
"2016-10-10 12:50:45","2016-10-10 12:51:45",1476103845000,1476103905000,60000,"121.18.238.114",35995,2031283826,1,182222626,125,2503,20,1703
"2016-10-10 12:51:47","2016-10-10 12:52:45",1476103907000,1476103965000,58000,"121.18.238.114",59468,2031283826,1,182222626,133,2411,18,1691
"2016-10-10 12:51:47","2016-10-10 12:52:45",1476103907000,1476103965000,58000,"121.18.238.114",38746,2031283826,1,182222626,129,2463,19,1703
"2016-10-10 12:51:47","2016-10-10 12:52:45",1476103907000,1476103965000,58000,"121.18.238.114",56264,2031283826,1,182222626,133,2267,17,1587
"2016-10-10 12:51:47","2016-10-10 12:52:45",1476103907000,1476103965000,58000,"121.18.238.114",53622,2031283826,1,182222626,129,2455,19,1695
"2016-10-10 12:51:47","2016-10-10 12:53:45",1476103907000,1476104025000,118000,"121.18.238.114",36954,2031283826,1,182222626,129,2327,18,1607
"2016-10-10 12:51:47","2016-10-10 12:52:45",1476103907000,1476103965000,58000,"121.18.238.114",37658,2031283826,1,182222626,128,2319,18,1599
"2016-10-10 12:52:47","2016-10-10 12:53:45",1476103967000,1476104025000,58000,"121.18.238.114",43014,2031283826,1,182222626,144,2603,18,1883
"2016-10-10 12:52:47","2016-10-10 12:53:45",1476103967000,1476104025000,58000,"121.18.238.114",57971,2031283826,1,182222626,143,2151,15,1551
"2016-10-10 12:52:47","2016-10-10 12:53:45",1476103967000,1476104025000,58000,"121.18.238.114",49710,2031283826,1,182222626,144,2163,15,1563
"2016-10-10 12:52:47","2016-10-10 12:53:45",1476103967000,1476104025000,58000,"121.18.238.114",33917,2031283826,1,182222626,144,2163,15,1563
